ReaScript API function,reapy API function
MIDI_GetPPQPos_EndOfMeasure,TODO
MIDI_GetPPQPos_StartOfMeasure,TODO
MIDI_GetPPQPosFromProjQN,TODO
MIDI_GetPPQPosFromProjTime,TODO
MIDI_GetProjQNFromPPQPos,TODO
MIDI_GetProjTimeFromPPQPos,TODO
MIDI_GetScale,TODO
MIDI_GetTextSysexEvt,TODO
MIDI_GetTrackHash,TODO
MIDI_InsertCC,TODO
MIDI_InsertEvt,TODO
MIDI_InsertNote,TODO
MIDI_InsertTextSysexEvt,TODO
midi_reinit,TODO
MIDI_SelectAll,TODO
MIDI_SetAllEvts,TODO
MIDI_SetCC,TODO
MIDI_SetEvt,TODO
MIDI_SetItemExtents,TODO
MIDI_SetNote,TODO
MIDI_SetTextSysexEvt,TODO
MIDI_Sort,TODO
MIDIEditor_GetActive,TODO
MIDIEditor_GetMode,TODO
MIDIEditor_GetSetting_int,TODO
MIDIEditor_GetSetting_str,TODO
MIDIEditor_GetTake,TODO
MIDIEditor_LastFocused_OnCommand,TODO
MIDIEditor_OnCommand,TODO
mkpanstr,TODO
mkvolpanstr,TODO
mkvolstr,TODO
MoveEditCursor,TODO
MoveMediaItemToTrack,Item.track
MuteAllTracks,Project.mute_all_tracks;.unmute_all_tracks
my_getViewport,TODO
NamedCommandLookup,get_command_id
OnPauseButton,Project.pause
OnPauseButtonEx,Project.pause
OnPlayButton,Project.play
OnPlayButtonEx,Project.play
OnStopButton,Project.stop
OnStopButtonEx,Project.stop
OpenColorThemeFile,TODO
OpenMediaExplorer,TODO
OscLocalMessageToHost,TODO
parse_timestr,TODO
parse_timestr_len,TODO
parse_timestr_pos,TODO
parsepanstr,TODO
PCM_Sink_Enum,TODO
PCM_Sink_GetExtension,TODO
PCM_Sink_ShowConfig,TODO
PCM_Source_CreateFromFile,TODO
PCM_Source_CreateFromFileEx,TODO
PCM_Source_CreateFromType,TODO
PCM_Source_Destroy,TODO
PCM_Source_GetPeaks,TODO
PCM_Source_GetSectionInfo,TODO
PluginWantsAlwaysRunFx,TODO
PreventUIRefresh,TODO
ReaScriptError,TODO
RecursiveCreateDirectory,TODO
RefreshToolbar,TODO
RefreshToolbar2,TODO
relative_fn,TODO
RemoveTrackSend,TODO
RenderFileSection,TODO
ReorderSelectedTracks,TODO
Resample_EnumModes,TODO
resolve_fn,TODO
resolve_fn2,TODO
ReverseNamedCommandLookup,get_command_name
ScaleFromEnvelopeMode,TODO
ScaleToEnvelopeMode,TODO
SelectAllMediaItems,Project.select_all_items
SelectProjectInstance,Project.make_current_project
SetActiveTake,Take.make_active_take
SetAutomationMode,TODO
SetCurrentBPM,Project.bpm
SetCursorContext,TODO
SetEditCurPos,Project.cursor_position
SetEditCurPos2,Project.cursor_position
SetEnvelopePoint,TODO
SetEnvelopePointEx,TODO
SetEnvelopeStateChunk,TODO
SetExtState,set_ext_state
SetGlobalAutomationOverride,set_global_automation_mode
SetItemStateChunk,TODO
SetMasterTrackVisibility,TODO
SetMediaItemInfo_Value,TODO
SetMediaItemLength,Item.length
SetMediaItemPosition,Item.position
SetMediaItemSelected,TODO
SetMediaItemTake_Source,TODO
SetMediaItemTakeInfo_Value,TODO
SetMediaTrackInfo_Value,TODO
SetMIDIEditorGrid,TODO
SetMixerScroll,TODO
SetMouseModifier,TODO
SetOnlyTrackSelected,Track.make_only_selected_track
SetProjectGrid,TODO
SetProjectMarker,TODO
SetProjectMarker2,TODO
SetProjectMarker3,TODO
SetProjectMarker4,TODO
SetProjectMarkerByIndex,TODO
SetProjectMarkerByIndex2,TODO
SetProjExtState,TODO
SetRegionRenderMatrix,TODO
SetTakeStretchMarker,TODO
SetTakeStretchMarkerSlope,TODO
SetTempoTimeSigMarker,TODO
SetToggleCommandState,TODO
SetTrackAutomationMode,Track.automation_mode
SetTrackColor,Track.color
SetTrackMIDILyrics,TODO
SetTrackMIDINoteName,TODO
SetTrackMIDINoteNameEx,TODO
SetTrackSelected,Track.is_selected;.select;.unselect
SetTrackSendInfo_Value,TODO
SetTrackSendUIPan,TODO
SetTrackSendUIVol,TODO
SetTrackStateChunk,TODO
ShowActionList,TODO
ShowConsoleMsg,print;show_console_message
